objectid,filename,title,format,description,creator,date,subject,location,latitude,longitude,related_publication,publisher-digital
tree0001,tree0001.jpg,Trident Maple,image/jpg,Photograph of Trident Maple in front yard.,"Buddendeck, Karen K.",2024,Trees; Landscape gardening,"Apex, NC",,,,
tree0002,tree0002.jpg,Black Dragon Cryptomeria,image/jpg,Photograph of Black Dragon Cryptomeria in side yard.,"Buddendeck, Karen K.",2024,Trees: Landscape gardening,"Apex, NC",,,,
tree0003,tree0003.jpg,Arizona Cypress,image/jpg,Photograph of Arizona Cypress in backyard.,"Buddendeck, Karen K.",2022,Trees; Landscape gardening,"Apex, NC",,,,
tree0004,tree0004.jpg,Emerald Arborvitae,image/jpg,Photograph of Emerald Arbovitae in backyard.,"Buddendeck, Karen K.",2024,Trees; Landscape gardening,"Apex, NC",,,,
tree0005,tree0005.jpg,Blue Steel Cypress,image/jpg,Photograph of Blue Steel Cypress in backyard.,"Buddendeck, Karen K.",2023,Trees; Landscape gardening,"Apex, NC",,,,
tree0006,tree0006.jpg,River Birch,image/jpg,Photograph of River Birch in backyard.,"Buddendeck, Karen K.",2023,Trees; Landscape gardening,"Apex, NC",,,,
tree0007,tree0007.jpg,Bald Cypress,image/jpg,Photograph of Bald Cypress in backyard.,"Buddendeck, Karen K.",2022,Trees; Landscape gardening,"Apex, NC",,,,
tree0008,tree0008.jpg,Key Parris Magnolia,image/jpg,Photograph of Key Parris Magnolia in backyard.,"Buddendeck, Karen K.",2023,Trees; Landscape gardening,"Apex, NC",,,,
tree0009,tree0009.jpg,Acadiana Holly,image/jpg,Photograph of Acadiana Holly in backyard.,"Buddendeck, Karen K.",2025,Trees; Landscape gardening,"Apex, NC",,,,
tree0010,tree0010.jpg,Forest Pansy Redbud,image/jpg,Photograph of Forest Pansy Redbud in backyard.,"Buddendeck, Karen K.",2025,Trees; Landscape gardening,"Apex, NC",,,,
